"filename", "language", "Properties", "Shell Script", "Kotlin", "SQL", "XML", "YAML", "Markdown", "Batch", "comment", "blank", "total"
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\controller\AbstractRestController.kt", "Kotlin", 0, 0, 48, 0, 0, 0, 0, 0, 5, 15, 68
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\controller\AuthenticationController.kt", "Kotlin", 0, 0, 39, 0, 0, 0, 0, 0, 2, 13, 54
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\controller\OtherMaterialController.kt", "Kotlin", 0, 0, 31, 0, 0, 0, 0, 0, 4, 5, 40
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\controller\QuestionItemController.kt", "Kotlin", 0, 0, 32, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\controller\ResponseDomainController.kt", "Kotlin", 0, 0, 33, 0, 0, 0, 0, 0, 0, 8, 41
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Agency.kt", "Kotlin", 0, 0, 30, 0, 0, 0, 0, 0, 0, 9, 39
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Author.kt", "Kotlin", 0, 0, 32, 0, 0, 0, 0, 0, 16, 13, 61
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Authority.kt", "Kotlin", 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Category.kt", "Kotlin", 0, 0, 158, 0, 0, 0, 0, 0, 93, 26, 277
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Comment.kt", "Kotlin", 0, 0, 34, 0, 0, 0, 0, 0, 12, 10, 56
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Concept.kt", "Kotlin", 0, 0, 56, 0, 0, 0, 0, 0, 23, 16, 95
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\ConceptHierarchy.kt", "Kotlin", 0, 0, 66, 0, 0, 0, 0, 0, 1, 16, 83
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\ConditionConstruct.kt", "Kotlin", 0, 0, 32, 0, 0, 0, 0, 0, 3, 8, 43
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\ControlConstruct.kt", "Kotlin", 0, 0, 41, 0, 0, 0, 0, 0, 8, 12, 61
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\ControlConstructInstruction.kt", "Kotlin", 0, 0, 13, 0, 0, 0, 0, 0, 3, 5, 21
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Instruction.kt", "Kotlin", 0, 0, 55, 0, 0, 0, 0, 0, 46, 14, 115
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Instrument.kt", "Kotlin", 0, 0, 39, 0, 0, 0, 0, 0, 22, 22, 83
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\InstrumentNode.kt", "Kotlin", 0, 0, 111, 0, 0, 0, 0, 0, 9, 24, 144
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\InstrumentNodeIter.kt", "Kotlin", 0, 0, 48, 0, 0, 0, 0, 0, 4, 8, 60
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\OtherMaterial.kt", "Kotlin", 0, 0, 64, 0, 0, 0, 0, 0, 8, 13, 85
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Publication.kt", "Kotlin", 0, 0, 45, 0, 0, 0, 0, 0, 4, 15, 64
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\PublicationStatus.kt", "Kotlin", 0, 0, 28, 0, 0, 0, 0, 0, 3, 11, 42
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\QuestionConstruct.kt", "Kotlin", 0, 0, 103, 0, 0, 0, 0, 0, 26, 29, 158
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\QuestionItem.kt", "Kotlin", 0, 0, 53, 0, 0, 0, 0, 0, 10, 15, 78
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\ResponseDomain.kt", "Kotlin", 0, 0, 95, 0, 0, 0, 0, 0, 38, 18, 151
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Sequence.kt", "Kotlin", 0, 0, 79, 0, 0, 0, 0, 0, 22, 25, 126
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\StatementItem.kt", "Kotlin", 0, 0, 21, 0, 0, 0, 0, 0, 3, 6, 30
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Study.kt", "Kotlin", 0, 0, 30, 0, 0, 0, 0, 0, 39, 16, 85
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\SurveyProgram.kt", "Kotlin", 0, 0, 26, 0, 0, 0, 0, 0, 32, 16, 74
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\TopicGroup.kt", "Kotlin", 0, 0, 69, 0, 0, 0, 0, 0, 35, 19, 123
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\TreeNode.kt", "Kotlin", 0, 0, 66, 0, 0, 0, 0, 0, 4, 16, 86
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Universe.kt", "Kotlin", 0, 0, 36, 0, 0, 0, 0, 0, 4, 6, 46
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\User.kt", "Kotlin", 0, 0, 58, 0, 0, 0, 0, 0, 6, 21, 85
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\CategoryFragmentBuilder.kt", "Kotlin", 0, 0, 44, 0, 0, 0, 0, 0, 7, 5, 56
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ConceptFactory.kt", "Kotlin", 0, 0, 22, 0, 0, 0, 0, 0, 4, 4, 30
