"filename", "language", "Properties", "Shell Script", "Kotlin", "YAML", "XML", "Batch", "Markdown", "comment", "blank", "total"
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\StatementItem.kt", "Kotlin", 0, 0, 21, 0, 0, 0, 0, 3, 6, 30
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Study.kt", "Kotlin", 0, 0, 63, 0, 0, 0, 0, 47, 26, 136
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\SurveyProgram.kt", "Kotlin", 0, 0, 46, 0, 0, 0, 0, 23, 15, 84
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\TopicGroup.kt", "Kotlin", 0, 0, 108, 0, 0, 0, 0, 56, 35, 199
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\TreeNode.kt", "Kotlin", 0, 0, 67, 0, 0, 0, 0, 4, 16, 87
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Universe.kt", "Kotlin", 0, 0, 36, 0, 0, 0, 0, 4, 6, 46
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\User.kt", "Kotlin", 0, 0, 51, 0, 0, 0, 0, 6, 25, 82
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\CategoryFragmentBuilder.kt", "Kotlin", 0, 0, 44, 0, 0, 0, 0, 7, 5, 56
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ConceptFactory.kt", "Kotlin", 0, 0, 22, 0, 0, 0, 0, 4, 4, 30
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ConceptFragmentBuilder.kt", "Kotlin", 0, 0, 54, 0, 0, 0, 0, 3, 9, 66
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ControlConstructFragmentBuilder.kt", "Kotlin", 0, 0, 27, 0, 0, 0, 0, 10, 8, 45
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\FragmentBuilderAnchor.kt", "Kotlin", 0, 0, 17, 0, 0, 0, 0, 3, 2, 22
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\FragmentBuilderCode.kt", "Kotlin", 0, 0, 17, 0, 0, 0, 0, 3, 5, 25
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\FragmentBuilderManageRep.kt", "Kotlin", 0, 0, 181, 0, 0, 0, 0, 4, 22, 207
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\InstructionFragmentBuilder.kt", "Kotlin", 0, 0, 36, 0, 0, 0, 0, 3, 6, 45
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\InstrumentFactory.kt", "Kotlin", 0, 0, 15, 0, 0, 0, 0, 8, 4, 27
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\InstrumentFragmentBuilder.kt", "Kotlin", 0, 0, 45, 0, 0, 0, 0, 5, 12, 62
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\PublicationFactory.kt", "Kotlin", 0, 0, 16, 0, 0, 0, 0, 3, 4, 23
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\PublicationFragmentBuilder.kt", "Kotlin", 0, 0, 39, 0, 0, 0, 0, 5, 7, 51
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\QuestionItemFactory.kt", "Kotlin", 0, 0, 17, 0, 0, 0, 0, 3, 3, 23
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\QuestionItemFragmentBuilder.kt", "Kotlin", 0, 0, 48, 0, 0, 0, 0, 5, 6, 59
