Date : 2021-03-01 16:35:28
Directory : c:\Users\stino\projects\kotlin24
Total : 202 files,  6501 codes, 1801 comments, 1536 blanks, all 9838 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\PublicationStatus.kt                                 | Kotlin       |         28 |          3 |         11 |         42 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\QuestionConstruct.kt                                 | Kotlin       |        101 |         17 |         27 |        145 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\QuestionItem.kt                                      | Kotlin       |         50 |         16 |         17 |         83 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\ResponseDomain.kt                                    | Kotlin       |        107 |         41 |         21 |        169 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Sequence.kt                                          | Kotlin       |         79 |         22 |         25 |        126 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\StatementItem.kt                                     | Kotlin       |         21 |          3 |          6 |         30 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Study.kt                                             | Kotlin       |         63 |         47 |         26 |        136 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\SurveyProgram.kt                                     | Kotlin       |         46 |         23 |         15 |         84 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\TopicGroup.kt                                        | Kotlin       |        108 |         56 |         35 |        199 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\TreeNode.kt                                          | Kotlin       |         67 |          4 |         16 |         87 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Universe.kt                                          | Kotlin       |         36 |          4 |          6 |         46 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\User.kt                                              | Kotlin       |         51 |          6 |         25 |         82 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\CategoryFragmentBuilder.kt                   | Kotlin       |         44 |          7 |          5 |         56 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ConceptFactory.kt                            | Kotlin       |         22 |          4 |          4 |         30 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ConceptFragmentBuilder.kt                    | Kotlin       |         54 |          3 |          9 |         66 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ControlConstructFragmentBuilder.kt           | Kotlin       |         27 |         10 |          8 |         45 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\FragmentBuilderAnchor.kt                     | Kotlin       |         17 |          3 |          2 |         22 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\FragmentBuilderCode.kt                       | Kotlin       |         17 |          3 |          5 |         25 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\FragmentBuilderManageRep.kt                  | Kotlin       |        181 |          4 |         22 |        207 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\InstructionFragmentBuilder.kt                | Kotlin       |         36 |          3 |          6 |         45 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\InstrumentFactory.kt                         | Kotlin       |         15 |          8 |          4 |         27 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\InstrumentFragmentBuilder.kt                 | Kotlin       |         45 |          5 |         12 |         62 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\PublicationFactory.kt                        | Kotlin       |         16 |          3 |          4 |         23 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\PublicationFragmentBuilder.kt                | Kotlin       |         39 |          5 |          7 |         51 |
